year,location,site,plot,col,row,block,cult,resis,seed_trt,yield_kg_ha,SCN_initial,SCN_45_dap,SCN_final
2022,NCARS,1,607,2,17,6,P34A59PR,Peking,ILeVO,5306.025,6960,7840,7920
2022,NCARS,1,608,2,18,6,P34A59PR,Peking,BASE,5191.7,7640,14960,6480
2022,NCARS,1,609,2,19,6,P34A65PR,PI88788,ILeVO,5877.65,16280,7520,12840
2022,NCARS,1,610,2,20,6,P34A65PR,PI88788,BASE,5050.475,13880,13760,12560
2022,NCARS,1,701,3,11,7,P30A46PR,PI88788,ILeVO,5211.875,12760,17760,14920
2022,NCARS,1,702,3,12,7,P30A46PR,PI88788,BASE,5124.45,18360,18960,8040
2022,NCARS,1,703,3,13,7,P34A59PR,Peking,ILeVO,5218.6,34400,34320,19800
2022,NCARS,1,704,3,14,7,P34A59PR,Peking,BASE,4747.85,17280,28320,18680
2022,NCARS,1,705,3,15,7,P28A83PR,PI88788,BASE,4848.725,22160,29040,18040
2022,NCARS,1,706,3,16,7,P28A83PR,PI88788,ILeVO,5070.65,17160,16280,20600
2022,NCARS,1,707,3,17,7,P27A26PR,Peking,BASE,5635.55,14640,9320,5360
2022,NCARS,1,708,3,18,7,P27A26PR,Peking,ILeVO,5561.575,25520,11240,7880
2022,NCARS,1,709,3,19,7,P34A65PR,PI88788,BASE,5675.9,13560,14480,8800
2022,NCARS,1,710,3,20,7,P34A65PR,PI88788,ILeVO,5581.75,10680,9840,3680
2022,NCARS,1,801,4,11,8,P34A59PR,Peking,BASE,4989.95,19680,34000,19440
2022,NCARS,1,802,4,12,8,P34A59PR,Peking,ILeVO,5413.625,15360,25640,22160
2022,NCARS,1,803,4,13,8,P30A46PR,PI88788,BASE,4868.9,33240,34960,23440
2022,NCARS,1,804,4,14,8,P30A46PR,PI88788,ILeVO,5010.125,27560,21320,34240
2022,NCARS,1,805,4,15,8,P34A65PR,PI88788,BASE,4842,29600,28440,29640
2022,NCARS,1,806,4,16,8,P34A65PR,PI88788,ILeVO,5151.35,24480,21560,26840
2022,NCARS,1,807,4,17,8,P28A83PR,PI88788,ILeVO,4646.975,15240,17360,13360
2022,NCARS,1,808,4,18,8,P28A83PR,PI88788,BASE,4720.95,21000,34240,19720
2022,NCARS,1,809,4,19,8,P27A26PR,Peking,BASE,5137.9,36960,23400,14400
2022,NCARS,1,810,4,20,8,P27A26PR,Peking,ILeVO,5467.425,14480,18120,11720
2023,NCARS,2,101,1,1,1,P27A26PR,Peking,ILeVO,5689.35,4120,4080,1600
2023,NCARS,2,102,1,2,1,P27A26PR,Peking,BASE,5877.65,2440,3480,2280
2023,NCARS,2,103,1,3,1,P28A83PR,PI88788,ILeVO,5763.325,2640,5920,3920
