"Model","Contrast","Reference","predicted.value","standard.error","lower.Confidence.limit","upper.Confidence.limit","Bt","Bt_lower_CI","Bt_upper_CI","Eff","Eff_lower_CI","Eff_upper_CI"
"baseline","Fluopyram vs Base",0.682,-0.04,0.19,-0.41,0.33,0.963,0.665,1.396,3.7,-39.6,33.5
"ar1","Fluopyram vs Base",0.679,-0.03,0.19,-0.41,0.35,0.967,0.661,1.417,3.3,-41.7,33.9
"ar1_nugget","Fluopyram vs Base",0.709,-0.04,0.18,-0.39,0.32,0.962,0.675,1.371,3.8,-37.1,32.5
"ta","Fluopyram vs Base",0.701,-0.04,0.18,-0.39,0.32,0.964,0.677,1.373,3.6,-37.3,32.3
"tps","Fluopyram vs Base",0.692,-0.05,0.17,-0.39,0.29,0.951,0.674,1.341,4.9,-34.1,32.6
