"model","loglik","p","q","b","AIC","BIC","logdet"
"baseline",-503.4,10,3,0,1032.7,1063.7,96.3
"scn_covariate",-503,12,3,0,1035.9,1071.7,116.3
"ar1",-500.1,12,3,1,1030.2,1065.9,114.2
"ar1_nugget",-499.1,12,5,0,1032.2,1072.7,114.4
"ta",-496.7,14,5,0,1031.5,1076.8,128.8
"tps",-492.7,15,4,4,1023.3,1068.6,154.5
