"model","loglik","p","q","b","AIC","BIC","logdet"
"baseline",-615.7,12,2,1,1259.4,1295.3,118.6
"scn_covariate",-604.8,14,3,0,1243.6,1287.2,133.3
"ar1",-599.5,14,3,1,1233,1276.6,131.2
"ar1_nugget",-592.4,14,3,2,1218.8,1262.4,130.1
"ta",-587,16,3,2,1212.1,1260.8,142.2
"tps",-586,17,6,2,1217.9,1276.9,168.7
