"model","loglik","p","q","b","AIC","BIC","logdet"
"baseline",-40.3,12,2,1,108.6,144.5,-25.2
"ar1",-40.1,12,4,0,112.1,153.2,-25.3
"ar1_nugget",-40.1,12,3,2,110.2,148.7,-24.9
"ta",-36.4,14,3,2,106.9,150.5,-37
"tps",-30.4,15,3,5,96.8,143,-23.6
