"model","loglik","p","q","b","AIC","BIC","logdet"
"baseline",16.2,10,3,0,-6.5,24.5,-33.6
"ar1",16.6,10,3,1,-7.2,23.8,-33.8
"ar1_nugget",17.9,10,4,1,-7.8,25.6,-34
"ta",19.3,12,3,2,-8.7,27,-45.6
"tps",25.2,13,4,4,-16.4,24,-37.1
